ResultId,Drivers points,Qualifying position,Result_Race-1,Total gained/lost positions,Index DNF/Driver,Average Lost laps
23744.0,9.88888888888889,3.0,3.0,-41.0,0.6,0.0
23745.0,18.5,20.0,9.0,2.0,0.0,0.0555555555555555
23746.0,8.222222222222221,4.0,1.0,-64.0,1.4,0.0555555555555555
23747.0,10.666666666666666,5.0,20.0,9.0,1.2,0.0
23748.0,2.0,10.0,11.0,-1.0,0.4210526315789473,0.5555555555555556
23749.0,0.6111111111111112,7.0,10.0,-20.0,1.4736842105263157,0.2777777777777778
23750.0,5.111111111111111,6.0,7.0,15.0,0.2,0.4444444444444444
23751.0,1.8888888888888888,8.0,19.0,-53.0,1.2,0.3333333333333333
23752.0,3.0,9.0,16.0,-2.0,1.6,0.2777777777777778
23753.0,0.0,17.0,13.0,9.0,0.0,0.1666666666666666
23754.0,0.0,19.0,17.0,24.0,1.2,0.7222222222222222
23755.0,0.2777777777777778,16.0,14.0,25.0,0.6666666666666666,1.0555555555555556
23756.0,1.5555555555555556,12.0,15.0,18.0,0.6,0.5555555555555556
23757.0,2.2222222222222223,18.0,6.0,38.0,0.8,0.5555555555555556
23758.0,0.0,15.0,18.0,5.0,2.0,0.0555555555555555
23759.0,4.611111111111111,11.0,5.0,28.0,0.2,0.4444444444444444
23760.0,0.7222222222222222,13.0,12.0,24.0,1.2,0.6111111111111112
23761.0,1.0555555555555556,14.0,8.0,33.0,1.0,0.6111111111111112
23762.0,14.736842105263158,1.0,2.0,-6.0,0.1,0.0
23763.0,18.157894736842103,2.0,4.0,18.0,0.0,0.0526315789473684
23764.0,15.894736842105264,3.0,1.0,-20.0,0.2,0.0
23765.0,10.157894736842104,5.0,3.0,-41.0,0.3,0.0
23766.0,8.31578947368421,6.0,5.0,-65.0,0.7,0.0526315789473684
23767.0,1.8421052631578947,7.0,10.0,-56.0,0.6,0.3684210526315789
23768.0,4.947368421052632,8.0,9.0,11.0,0.1,0.4210526315789473
23769.0,4.368421052631579,9.0,18.0,20.0,0.1,0.4210526315789473
23770.0,0.7894736842105263,11.0,8.0,-22.0,0.7368421052631579,0.2631578947368421
23771.0,2.210526315789474,10.0,7.0,1.0,0.2105263157894736,0.5263157894736842
23772.0,1.4736842105263157,16.0,15.0,14.0,0.3,0.631578947368421
23773.0,0.6842105263157895,13.0,19.0,17.0,0.6,0.5789473684210527
23774.0,1.0,14.0,20.0,26.0,0.5,0.5789473684210527
23775.0,0.2631578947368421,18.0,14.0,26.0,0.3333333333333333,1.0526315789473684
23776.0,0.0,20.0,17.0,6.0,1.0,0.0526315789473684
23777.0,0.0,17.0,12.0,16.0,0.0,0.2105263157894736
23778.0,0.0,19.0,13.0,28.0,0.6,0.7368421052631579
23779.0,2.1052631578947367,15.0,16.0,38.0,0.4,0.631578947368421
23780.0,2.8421052631578947,12.0,11.0,-5.0,0.8,0.3157894736842105
23781.0,10.526315789473683,4.0,6.0,17.0,0.6,0.0
23822.0,6.0,6.0,20.0,-12.0,0.0,0.0
23823.0,11.0,3.0,2.0,8.0,0.0,0.0
23824.0,7.5,2.0,18.0,-17.0,0.0,0.0
23825.0,16.5,4.0,3.0,5.0,0.0,0.0
23826.0,4.0,5.0,19.0,-6.0,0.0,0.0
23827.0,7.0,7.0,6.0,1.0,0.0,0.0
23828.0,8.0,13.0,7.0,11.0,0.0,0.5
23829.0,25.0,1.0,1.0,2.0,0.0,0.0
23830.0,0.5,9.0,11.0,-2.0,0.0,0.5
23831.0,5.0,11.0,5.0,-11.0,0.0,0.0
23832.0,0.5,12.0,10.0,0.0,0.0,0.5
23833.0,0.0,8.0,16.0,-3.0,0.0,0.5
23834.0,3.0,14.0,8.0,8.0,0.0,0.5
23835.0,0.0,18.0,14.0,5.0,0.0,0.5
23836.0,0.0,16.0,15.0,2.0,0.0,0.5
23837.0,1.0,20.0,9.0,6.0,0.0,0.5
23838.0,0.0,10.0,13.0,-7.0,0.0,0.5
23839.0,6.0,17.0,4.0,3.0,0.0,0.0
23840.0,0.0,19.0,12.0,12.0,0.0,0.5
23841.0,0.0,15.0,17.0,-5.0,0.0,1.0
23842.0,15.0,2.0,4.0,5.0,0.3333333333333333,0.0
23843.0,10.0,6.0,3.0,-18.0,1.3333333333333333,0.0
23844.0,0.0,8.0,12.0,-7.0,0.6666666666666666,0.3333333333333333
23845.0,18.0,1.0,8.0,-5.0,0.3333333333333333,0.0
23846.0,1.0,10.0,9.0,-2.0,0.6666666666666666,0.3333333333333333
23847.0,0.0,14.0,19.0,12.0,2.0,0.3333333333333333
23848.0,7.333333333333333,13.0,7.0,17.0,2.0,0.3333333333333333
23849.0,0.0,11.0,14.0,9.0,0.6666666666666666,0.3333333333333333
23850.0,2.0,16.0,13.0,9.0,0.6666666666666666,0.3333333333333333
23851.0,0.0,19.0,20.0,-10.0,2.0,0.6666666666666666
23852.0,0.6666666666666666,18.0,16.0,10.0,1.3333333333333333,0.3333333333333333
